DateTime,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Date,Time
2019-10-28 23:59:00,9222.29,9232.76,9213.31,9216.44,6.97935774,64350.517619000006,9220.1202483,2019-10-28,23:59:00
2019-10-29 23:59:00,9426.94,9435.67,9426.94,9426.94,7.34914802,69282.318822,9427.258593,2019-10-29,23:59:00
2019-10-30 23:59:00,9161.32,9170.05,9158.63,9159.94,0.51529649,4724.0568303,9167.647989000001,2019-10-30,23:59:00
2019-10-31 23:59:00,9144.26,9158.08,9144.26,9150.07,0.20164055,1845.3765282000002,9151.812610299998,2019-10-31,23:59:00
2019-11-01 23:59:00,9250.46,9254.52,9246.94,9250.45,0.06572296,607.97630847,9250.5923116,2019-11-01,23:59:00
2019-11-02 23:59:00,9303.4,9305.0,9296.06,9304.75,0.56697395,5275.097248800001,9303.9499412,2019-11-02,23:59:00
2019-11-03 23:59:00,9200.15,9207.0,9200.15,9207.0,0.06817522,627.63656351,9206.227182100001,2019-11-03,23:59:00
2019-11-04 23:59:00,9410.78,9418.07,9410.76,9410.76,1.28729032,12120.932766,9415.8501604,2019-11-04,23:59:00
2019-11-05 23:59:00,9298.38,9321.64,9298.38,9320.14,14.87185106,138592.83115,9319.1379197,2019-11-05,23:59:00
2019-11-06 23:59:00,9349.61,9349.61,9341.79,9344.78,7.09522882,66303.19661,9344.7580468,2019-11-06,23:59:00
2019-11-07 23:59:00,9209.15,9209.15,9196.97,9199.36,2.72180763,25039.009387000002,9199.40451,2019-11-07,23:59:00
2019-11-08 23:59:00,8768.87,8768.87,8760.38,8767.37,0.36611876,3209.4137527,8766.0456206,2019-11-08,23:59:00
2019-11-09 23:59:00,8812.21,8812.21,8812.21,8812.21,0.00707394,62.337044807,8812.21,2019-11-09,23:59:00
2019-11-10 23:59:00,9035.6,9035.88,9024.49,9024.49,11.92302392,107630.65322000001,9027.1271734,2019-11-10,23:59:00
2019-11-11 23:59:00,8715.53,8720.36,8715.0,8720.36,0.08745510000000001,762.46013764,8718.3038798,2019-11-11,23:59:00
2019-11-12 23:59:00,8799.36,8813.91,8799.36,8813.91,2.16429797,19070.398065999998,8811.3551511,2019-11-12,23:59:00
2019-11-13 23:59:00,8755.74,8756.99,8755.24,8755.24,0.02857107,250.16030905,8755.720701200002,2019-11-13,23:59:00
2019-11-14 23:58:00,8627.97,8636.9,8626.8,8636.9,0.05645066,487.09974291,8628.769670799998,2019-11-14,23:58:00
2019-11-15 23:59:00,8457.96,8463.49,8457.96,8463.49,0.01796536,151.96811365,8458.9517632,2019-11-15,23:59:00
2019-11-16 23:59:00,8481.9,8484.63,8480.38,8484.63,1.39432369,11826.638013,8481.988864899999,2019-11-16,23:59:00
2019-11-17 23:59:00,8510.54,8510.54,8499.0,8499.31,0.15669579,1332.0622131,8500.944492899998,2019-11-17,23:59:00
2019-11-18 23:59:00,8179.0,8179.01,8170.65,8170.65,0.2187694,1789.2008923,8178.478764899999,2019-11-18,23:59:00
2019-11-19 23:59:00,8119.18,8121.63,8119.18,8121.63,0.04087614,331.95104425,8120.8999737,2019-11-19,23:59:00
2019-11-20 23:59:00,8085.54,8088.44,8079.79,8088.44,1.1222963,9076.8667116,8087.763197300001,2019-11-20,23:59:00
2019-11-21 23:59:00,7611.97,7618.55,7611.47,7611.51,0.16613897,1265.4953633,7617.089255600001,2019-11-21,23:59:00
2019-11-22 23:59:00,7281.21,7289.86,7277.89,7285.85,1.91809322,13969.284307,7282.9016656,2019-11-22,23:59:00
2019-11-23 23:59:00,7317.95,7328.74,7317.95,7320.39,1.98980013,14566.905546,7320.7883175,2019-11-23,23:59:00
2019-11-24 23:59:00,6904.48,6919.37,6904.48,6908.36,4.69109471,32419.481811,6910.8563810000005,2019-11-24,23:59:00
2019-11-25 23:59:00,7134.31,7134.31,7122.14,7122.14,0.09735627,693.56081349,7123.946033300001,2019-11-25,23:59:00
2019-11-26 23:59:00,7159.21,7166.81,7159.2,7159.22,0.82964817,5945.6546025,7166.4770893,2019-11-26,23:59:00
2019-11-27 23:59:00,7533.17,7533.17,7516.65,7527.84,0.1909029,1437.1113812,7527.9704036,2019-11-27,23:59:00
2019-11-28 23:59:00,7436.72,7436.72,7429.32,7436.72,0.95320359,7084.932324699999,7432.7587507,2019-11-28,23:59:00
2019-11-29 23:59:00,7755.53,7762.2,7753.69,7753.69,0.25351721,1966.5894397,7757.2226347000005,2019-11-29,23:59:00
2019-11-30 23:59:00,7551.7,7560.49,7550.67,7550.67,0.56341737,4254.667327800001,7551.537376,2019-11-30,23:59:00
2019-12-01 23:59:00,7404.39,7412.66,7402.53,7412.66,2.66014724,19712.788758000002,7410.4126498,2019-12-01,23:59:00
2019-12-02 23:59:00,7311.97,7311.97,7306.49,7309.64,0.72529442,5301.4706358,7309.404966600001,2019-12-02,23:59:00
2019-12-03 23:59:00,7295.77,7300.43,7295.77,7300.43,3.55372269,25939.69201,7299.3011197,2019-12-03,23:59:00
2019-12-04 23:59:00,7196.54,7197.78,7188.72,7197.78,1.35349254,9740.4157609,7196.5049478,2019-12-04,23:59:00
2019-12-05 23:59:00,7401.0,7401.0,7390.42,7390.42,0.03176845,235.03488330000002,7398.374276899999,2019-12-05,23:59:00
2019-12-06 23:59:00,7537.26,7548.12,7537.26,7541.79,0.08470168,638.61794399,7539.613665100001,2019-12-06,23:59:00
2019-12-07 23:59:00,7502.62,7502.65,7502.62,7502.65,0.05999279,450.10463767,7502.645529100001,2019-12-07,23:59:00
2019-12-08 23:59:00,7516.83,7524.26,7516.8,7524.26,0.1127294,847.42359317,7517.325499500001,2019-12-08,23:59:00
2019-12-09 23:59:00,7335.88,7341.78,7333.63,7340.52,0.06197545,454.80117567,7338.408606399999,2019-12-09,23:59:00
2019-12-10 23:59:00,7224.34,7225.95,7215.51,7216.07,0.46460335,3353.9610721,7218.977375300001,2019-12-10,23:59:00
2019-12-11 23:59:00,7207.19,7207.47,7207.19,7207.42,0.04030966,290.52492516,7207.327602399999,2019-12-11,23:59:00
2019-12-12 23:59:00,7190.53,7190.53,7188.42,7188.42,0.04190336,301.22888989,7188.6571838,2019-12-12,23:59:00
2019-12-13 23:59:00,7247.28,7257.47,7247.28,7257.47,0.41809495,3033.5383460000003,7255.6206335,2019-12-13,23:59:00
2019-12-14 23:59:00,7066.0,7066.0,7059.03,7059.03,0.29464159999999995,2081.888693,7065.834196600001,2019-12-14,23:59:00
2019-12-15 23:59:00,7115.08,7115.08,7107.29,7115.08,0.66859775,4757.0103174999995,7114.906261,2019-12-15,23:59:00
2019-12-16 23:59:00,6883.72,6883.72,6871.3,6882.19,2.28360785,15712.309388999998,6880.4761678,2019-12-16,23:59:00
2019-12-17 23:59:00,6610.23,6618.65,6610.23,6612.3,0.18740448,1239.9687767,6616.5375382,2019-12-17,23:59:00
2019-12-18 23:59:00,7279.49,7286.91,7278.9,7286.91,0.32902398,2396.3561956999997,7283.2265772,2019-12-18,23:59:00
2019-12-19 23:59:00,7153.22,7153.22,7147.4,7149.57,0.40176947,2872.2973819000003,7149.118079699999,2019-12-19,23:59:00
2019-12-20 23:59:00,7194.11,7194.11,7194.11,7194.11,8.80829796,63367.864437000004,7194.11,2019-12-20,23:59:00
2019-12-21 23:59:00,7147.78,7147.78,7138.63,7147.4,0.16357570000000002,1168.0379452,7140.6568655,2019-12-21,23:59:00
2019-12-22 23:59:00,7513.48,7520.62,7505.0,7509.7,1.30315409,9788.0451713,7511.0420527999995,2019-12-22,23:59:00
2019-12-23 23:59:00,7310.82,7322.39,7310.82,7316.17,3.96917434,29031.415763,7314.2203582,2019-12-23,23:59:00
2019-12-24 23:59:00,7255.55,7258.29,7247.45,7251.52,0.36014411,2613.3959579,7256.528387800001,2019-12-24,23:59:00
2019-12-25 23:59:00,7187.29,7195.79,7187.28,7195.79,0.43017053,3091.874932,7187.5563676,2019-12-25,23:59:00
2019-12-26 23:59:00,7188.3,7196.18,7188.3,7188.3,0.05315859,382.3561817,7192.744986399999,2019-12-26,23:59:00
2019-12-27 23:59:00,7241.58,7247.7,7241.58,7246.0,0.39046874,2829.036307,7245.2312238,2019-12-27,23:59:00
2019-12-28 23:59:00,7299.53,7302.19,7296.24,7296.24,0.10078408,735.71537569,7299.916571,2019-12-28,23:59:00
2019-12-29 23:59:00,7384.55,7385.54,7379.23,7385.54,0.02509213,185.25051167,7382.8133233,2019-12-29,23:59:00
2019-12-30 23:59:00,7216.49,7220.24,7216.49,7220.24,0.10564332,762.47796815,7217.474499600001,2019-12-30,23:59:00
2019-12-31 23:59:00,7167.3,7171.22,7167.3,7168.36,0.19144775,1372.6389332,7169.783573899999,2019-12-31,23:59:00
2020-01-01 23:59:00,7178.68,7178.68,7178.68,7178.68,0.35519025,2549.7971439,7178.68,2020-01-01,23:59:00
2020-01-02 23:59:00,6943.91,6950.59,6943.91,6950.56,0.28872413,2006.7500866999999,6950.406558399999,2020-01-02,23:59:00
2020-01-03 23:59:00,7316.07,7338.91,7315.36,7338.91,2.6137365000000004,19141.139423,7323.285810400001,2020-01-03,23:59:00
2020-01-04 23:59:00,7350.68,7350.68,7340.75,7344.48,0.10863392,798.4172062999999,7349.6124074,2020-01-04,23:59:00
2020-01-05 23:59:00,7351.86,7356.7,7351.86,7356.7,0.06119186,450.12588803,7355.9765634000005,2020-01-05,23:59:00
2020-01-06 23:59:00,7761.64,7772.13,7756.54,7762.74,9.56654229,74262.562498,7762.7381186,2020-01-06,23:59:00
2020-01-07 23:59:00,8172.81,8172.81,8157.38,8159.01,1.06395342,8685.5471925,8163.4656454,2020-01-07,23:59:00
2020-01-08 23:59:00,8039.31,8045.78,8036.7,8044.44,3.39728614,27322.613993,8042.4824013,2020-01-08,23:59:00
2020-01-09 23:59:00,7811.59,7815.69,7806.78,7806.78,3.69444439,28868.862758,7814.128380399999,2020-01-09,23:59:00
2020-01-10 23:59:00,8191.14,8200.0,8181.91,8200.0,31.60730351,258967.80565,8193.290059199999,2020-01-10,23:59:00
